(1, 15, 20)
(1, 20, 26)
(1, 27, 30)
(1, 31, 32)
(2, 15, 20)
(2, 20, 26)
(2, 30, 37)
(3, 15, 20)
(3, 20, 26)
(4, 15, 20)
(4, 20, 26)
(4, 20, 31)
(5, 7, 20)
(5, 15, 20)
(5, 20, 26)
(5, 20, 31)
(6, 15, 20)
(6, 20, 26)
(6, 20, 31)
(6, 21, 32)
(7, 15, 20)
(7, 20, 26)
(8, 15, 20)
(8, 20, 26)
(8, 21, 32)
(9, 15, 20)
(9, 20, 26)
(10, 15, 20)
(10, 20, 26)
(10, 21, 32)
(11, 15, 20)
(11, 20, 26)
(11, 21, 32)
(12, 15, 20)
(12, 20, 26)
(12, 20, 31)
(12, 21, 32)
(13, 15, 20)
(13, 20, 26)
(14, 20, 26)
(15, 16, 20)
(15, 17, 20)
(15, 18, 20)
(15, 19, 20)
(15, 20, 21)
(15, 20, 22)
(15, 20, 24)
(15, 20, 25)
(15, 20, 26)
(15, 20, 28)
(15, 20, 29)
(15, 20, 31)
(15, 20, 32)
(15, 20, 33)
(15, 20, 34)
(15, 20, 35)
(15, 20, 36)
(15, 20, 38)
(15, 20, 39)
(15, 20, 40)
(16, 20, 26)
(16, 21, 32)
(16, 30, 37)
(17, 20, 26)
(17, 21, 32)
(17, 30, 37)
(18, 20, 26)
(19, 20, 26)
(20, 21, 26)
(20, 21, 32)
(20, 22, 26)
(20, 22, 31)
(20, 23, 26)
(20, 24, 26)
(20, 25, 26)
(20, 26, 27)
(20, 26, 28)
(20, 26, 29)
(20, 26, 30)
(20, 26, 31)
(20, 26, 32)
(20, 26, 33)
(20, 26, 34)
(20, 26, 35)
(20, 26, 36)
(20, 26, 37)
(20, 26, 38)
(20, 26, 39)
(20, 26, 40)
(21, 22, 32)
(21, 26, 32)
(21, 31, 32)
(21, 32, 33)
(21, 32, 36)
(27, 28, 30)
(1, 15, 20)
(1, 20, 26)
(1, 27, 30)
(1, 31, 32)
(2, 15, 20)
(2, 20, 26)
(2, 30, 37)
(3, 15, 20)
(3, 20, 26)
(4, 15, 20)
(4, 20, 26)
(4, 20, 31)
(5, 7, 20)
(5, 15, 20)
(5, 20, 26)
(5, 20, 31)
(6, 15, 20)
(6, 20, 26)
(6, 20, 31)
(6, 21, 32)
(7, 15, 20)
(7, 20, 26)
(8, 15, 20)
(8, 20, 26)
(8, 21, 32)
(9, 15, 20)
(9, 20, 26)
(10, 15, 20)
(10, 20, 26)
(10, 21, 32)
(11, 15, 20)
(11, 20, 26)
(11, 21, 32)
(12, 15, 20)
(12, 20, 26)
(12, 20, 31)
(12, 21, 32)
(13, 15, 20)
(13, 20, 26)
(14, 20, 26)
(15, 16, 20)
(15, 17, 20)
(15, 18, 20)
(15, 19, 20)
(15, 20, 21)
(15, 20, 22)
(15, 20, 24)
(15, 20, 25)
(15, 20, 26)
(15, 20, 28)
(15, 20, 29)
(15, 20, 31)
(15, 20, 32)
(15, 20, 33)
(15, 20, 34)
(15, 20, 35)
(15, 20, 36)
(15, 20, 38)
(15, 20, 39)
(15, 20, 40)
(16, 20, 26)
(16, 21, 32)
(16, 30, 37)
(17, 20, 26)
(17, 21, 32)
(17, 30, 37)
(18, 20, 26)
(19, 20, 26)
(20, 21, 26)
(20, 21, 32)
(20, 22, 26)
(20, 22, 31)
(20, 23, 26)
(20, 24, 26)
(20, 25, 26)
(20, 26, 27)
(20, 26, 28)
(20, 26, 29)
(20, 26, 30)
(20, 26, 31)
(20, 26, 32)
(20, 26, 33)
(20, 26, 34)
(20, 26, 35)
(20, 26, 36)
(20, 26, 37)
(20, 26, 38)
(20, 26, 39)
(20, 26, 40)
(21, 22, 32)
(21, 26, 32)
(21, 31, 32)
(21, 32, 33)
(21, 32, 36)
(27, 28, 30)
(1, 15, 20)
(1, 20, 26)
(1, 31, 32)
(2, 15, 20)
(2, 20, 26)
(2, 30, 37)
(3, 15, 20)
(3, 20, 26)
(4, 15, 20)
(4, 20, 26)
(4, 20, 31)
(5, 15, 20)
(5, 20, 26)
